# LK8000 NEDERLANDS MESSAGES - NED_MSG.TXT
# MASTER UPDATED:  121005
# Version: February 2013
# Retranslated by Senne Verpoorten
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# ATTENTION> Max number of tokens is defined in LKLanguage as MAX_MESSAGES
#
# If you add messages, as a developer, do not recycle numbers, because translations assume
# that a nonexisting token should be replaced by the english original.
# But if a old token was translated, it will still appear like that, wrong!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT ON GITHUB

_@M1_ " Diff"
_@M1656_ "*GEMARKEERD*"

# customkeys zoom 
_@M1657_ "Zoom in"
_@M1658_ "Zoom uit"
_@M1659_ "Zoom sterk in"
_@M1660_ "Zoom sterk uit"

# Active map indicator in map scale (with AZM, NAV1 etc.), 3 letters!
_@M1661_ "KlikLchtR"

# Error message
_@M1662_ "SYSTEEMFOUT"
_@M1663_ "NIET GENOEG GEHEUGEN"

# Total energy configuration 
# Toggle is for customkey config
_@M1666_ "Totaalenergie in/uitschakelen"
_@M1667_ "Totaalenergie in gebruik!"
_@M1668_ "Totaalenergie uit"
_@M1669_ "Gebruik totaalenergie "

# Header Thermal History keep short!
_@M1670_ "THER"
# average lift 
_@M1671_ "Gem."
_@M1672_ "Thermiekdetails"
_@M1673_ "Gem"

# Auto MC configuration
_@M1674_ "Auto MC "
# Menu buttons MacCready, keep very short! - F C E are the overlay indicators
# Fin Th Equ  are fron button shortcuts, max 3 letters!
_@M1675_ "Final"
_@M1676_ "F"
_@M1677_ "ThAll"
_@M1678_ "T"
_@M1679_ "Equiv"
_@M1680_ "E"
_@M1681_ "Fin"
_@M1682_ "Th"
_@M1683_ "Eq"
# Change 118 average climb with average thermal
_@M1684_ "Gemiddelde thermiek (TH.tot)"
# Change 148 with 1685
_@M1685_ "Final Glide + gemiddeld"

# Optimized routes for paraglider
_@M1686_ "Geoptimaliseerde route"
_@M1687_ "Schakel geoptim. route (paraglider/delta)"

# Customkey name
_@M1688_ "Schermvergrendeling"
_@M1689_ "Orakel"

# ORACLE
_@M1690_ "Het LK8000-Orakel"
_@M1691_ "Het Orakel denkt na."
_@M1692_ "Even geduld..."

# Customkey
_@M1693_ "Terreinkleur versterken"

# Safety Altitude indicator on overlay
_@M1694_ "+ VEILIGHEID"

#infobox Logger status
_@M1695_ "Logger"
# max 3-4 chars!
_@M1696_ "auto"

# PG autozoom threshold on config page 23
_@M1697_ "Autozoom-drempel "

#Multitarget bearing infobox
_@M1698_ "Koers richting multidoel (niet gebruikt)"
_@M1699_ "BrgMD"

# Logger status
_@M1700_ "aan"
_@M1701_ "uit"

# dialogs for The Oracle
_@M1702_ "Het Orakel heeft GPS-ontvangst nodig"
_@M1703_ "noord"
_@M1704_ "noord-oost"
_@M1705- "oost"
_@M1706_ "zuid-oost"
_@M1707_ "zuid"
_@M1708_ "zuid-west"
_@M1709_ "west"
_@M1710_ "noord-west"
# 3km south-west of ..
_@M1711_ "van"
_@M1712_ "nabij"
_@M1713_ "boven"
_@M1714_ "de plaats"
# 2km South of the city
_@M1715_ "van de plaats"
_@M1716_ "boven de plaats"
# over the city and (lake)
_@M1717_ "en"
# 2km south of city , over (lake)
_@M1718_ "boven"
_@M1719_ "dichtbij"
# grass airport, small airport
_@M1720_ "het vliegveld van"
# outlanding field, not an airport/airfield
_@M1721_ "het veld van"
_@M1722_ "het vliegveld van"
_@M1723_ "nabij"
_@M1724_ "Jouw positie:"
_@M1725_ "Het spijt me,"
_@M1726_ "ik kan je positie niet bepalen."
# 1727-1739 reserved for The Oracle
_@M1740_ "OLC-analyse"
_@M1741_ "RESET NAAR STANDAARDINSTELLINGEN"
_@M1742_ "AGL:"
_@M1743_ "ELV:"
# this was the old V rough air. Leave a trailing space!
_@M1744_ "V rough air "
# new startup profile buttons
_@M1745_ "VLIEGTUIG"
_@M1746_ "SYSTEEM"
# new button caption on task overview dialog, appears only in PG/HG mode
_@M1747_ "Tijdpoorten"
_@M1748_ "Logboek"
_@M1749_ "Bestand niet gevonden"
_@M1750_ "Leeg"
_@M1751_ "Wil je het logboek wissen?"
_@M1752_ "Logboek gewist"
_@M1753_ "Vluchtenlijst"
_@M1754_ "Start vrije vlucht"
_@M1755_ "Slepen"
_@M1756_ "PILOOT"
_@M1757_ "LK8000 profiel-reset"
_@M1758_ "Dit herstelt alle profielen naar de standaardinstellingen"
_@M1759_ "indien je verder opstart"
#
# These are new infoboxes:
_@M1761_ "Koers naar Alternatief 1"
_@M1762_ "Koers naar Alternatief 2"
_@M1763_ "Koers naar beste alternatief"
_@M1764_ "Afstand tot Alternatief 1"
_@M1765_ "Afstand tot Alternatief 2"
_@M1766_ "Afstand tot beste alternatief"
_@M1767_ "Maximaal bereikte altitude"
_@M1768_ "MaxAlt"
_@M1769_ "Maximaal gewonnen hoogte"
_@M1770_ "MaxHgtWin"
_@M1771_ "Windsnelh. van tegenwindcomponent"
_@M1772_ "TegWind"
# Customkey
_@M1774_ "Terreinkleur verminderen"

# New AverEfficiency intervals
_@M1775_ "3 seconden"
_@M1776_ "5 seconden"
_@M1777_ "10 seconden"
_@M1778_ "45 seconden"

# New livetracker configuration
_@M1779_ "Live Tracker loginterval "
_@M1780_ "Gebruiker"
_@M1781_ "Wachtwoord"
_@M1782_ "LT-server"

# configuration SETUP save 
_@M1783_ "Vliegtuigprofiel"
_@M1784_ "Pilootprofiel"
# page names
_@M1785_ "Pilootconfiguratie"
_@M1786_ "Vliegtuigconfiguratie"

# Page names in configuration
_@M1787_ "Eigen menu"
_@M1788_ "Configureer eigen menu"

_@M1789_ "Verwijder opdrachtbestand"
_@M1790_ "Je hebt geen opdracht gekozen"

# Customkey configuration item
_@M1791_ "Auto. verder activeren"

# configuration PG/Hg specials
_@M1792_ "Snelle bewegingen "

# Wind mode configuration, "External" (from external instrument)
_@M1793_ "Extern"

# Safety takeoff alarm
_@M1794_ "Veiligheidshoogte takeoff "

# Replacing 120, 755 and 756
_@M1795_ "Baro-hoogte beschikbaar"
_@M1796_ "Baro-hoogte wordt gebruikt"

# Replacing 822
_@M1797_ "Vector"

_@M1798_ "Activeer keerpunten"
_@M1799_ "Stop met bewegen!"

_@M1800_ "geen spoor"
_@M1801_ "klimspoor"
_@M1802_ "klim/daal-spoor"
_@M1803_ "Koers boven"
_@M1804_ "Koers rechts"
_@M1805_ "Lijn + volgend keerpunt"
_@M1806_ "Schaduw + volgend keerpunt"
_@M1807_ "_Gereserveerd 2"
_@M1808_ "FLARMNET-database laden..."

# Trip computer, Infobox title, max 6-7 chars
_@M1809_ "Bewegen"
_@M1810_ "Steady"
_@M1811_ "Totaal"
_@M1812_ "Chrono"

# New virtual waypoints
_@M1813_ "FAI SLUITEN"
_@M1814_ "VRIJE VLUCHT"
# 1815 can be changed anytime, do not reuse!
_@M1815_ "ONGEBRUIKT"
_@M1816_ "FAI sluitpunt"
_@M1817_ "binnen en buiten sluitpunt"

# profile button, keep short!
_@M1818_ "APPARAAT"
# configuration SETUP save 
_@M1819_ "Apparaatprofiel"
# page name
_@M1820_ "Apparaatconfiguratie"
# Bottom bar configuration button
_@M1821_ "-> auto"
_@M1822_ "Configureer multimaps"
#// leave a space after Ack
_@M1823_ "Groep stil "

#// Task buttons (keep SHORT text!)
_@M1824_ "Voeg in als start"
_@M1825_ "Voeg in voor"
_@M1826_ "Vervang"
_@M1827_ "Voeg toe voor finish"
_@M1828_ "Voeg toe na finish"
############################################################
#                  - MENU MESSAGES - 
#
#             DO NOT REMOVE OR CHANGE \n  
#       it means New Line, for line splitting!!
#
############################################################

_@M2001_ "Zoom\nin"
_@M2002_ "Zoom\nuit"
_@M2003_ "Dichtstbij\nkeerpunt"
_@M2004_ "Pan\n"
_@M2005_ "Volledig\nscherm"
_@M2006_ "Beeld\n1/3"
_@M2007_ "Beeld\n2/3"
_@M2008_ "Beeld\n3/3"
_@M2009_ "Zoom"
_@M2010_ "Navigatie\n1/3"
_@M2011_ "Sluit"
_@M2012_ "Terug"
_@M2013_ "Opdracht\nberekenen"
_@M2014_ "Verdergaan\n"
_@M2015_ "Keerpunt\nzoeken"
_@M2016_ "Navigatie\n2/3"
_@M2017_ "Opdracht\naanpassen"
_@M2018_ "Opdracht\nwissen"
_@M2019_ "Opdracht\nherstarten"
_@M2020_ "Doel"
_@M2021_ "Team\ncode"
_@M2022_ "Navigatie\n3/3"
_@M2023_ "-niets-"
_@M2024_ "Tijd\npoorten"
_@M2025_ "Multi\ndoelen"
_@M2026_ "Labels"
_@M2027_ "Topologie"
_@M2028_ "Terrein"
_@M2029_ "Luchtruim"
_@M2030_ "VisueelGld"
_@M2031_ "Thermiek"
_@M2032_ "Kruisvl."
_@M2033_ "Final"
_@M2034_ "Auto"
_@M2035_ "Spoor"
_@M2036_ "Tekstkleur\nandersom"
_@M2037_ "Topo\norigineel"
_@M2038_ "Kaart\noriëntatie"
_@M2039_ "Configuratie\n1/3"
_@M2040_ "Configuratie\n2/3"
_@M2041_ "Configuratie\n3/3"
_@M2042_ "Setup\nbasis"
_@M2043_ "Setup\nwind"
_@M2044_ "Klik.luchtr."
_@M2045_ "Navig. met"
#2046 UNUSED
_@M2046_ ""
_@M2047_ "Verwijder\nmarkering"
_@M2048_ "Logger"
_@M2049_ "Logbestand\nafspelen"
_@M2050_ "NMEA\nlogger"
_@M2051_ "Setup"
_@M2052_ "QFE\nop nul"
_@M2053_ "Herstart\nCOM-poort"
_@M2054_ "Profielen"
_@M2055_ "Geluid"
_@M2056_ "Informatie\n1/2"
_@M2057_ "Informatie\n2/2"
_@M2058_ "Orakel,\nwaar ben ik?"
_@M2059_ "Dichtstbij\nkeerpunt"
_@M2060_ "Dichtstbij\nluchtruim"
_@M2061_ "Status"
_@M2062_ "Analyse"
_@M2063_ "Kladblok"
_@M2064_ "Herhaal\nBericht"
_@M2065_ "Th.hulp"
_@M2066_ "Navigatie"
_@M2067_ "Informatie"
_@M2068_ "Configuratie"
_@M2069_ "Beeld"
_@M2070_ "Markeer\npositie"
_@M2071_ "Bereken\nTrueWind"
_@M2072_ "Weergave"
_@M2073_ "LK8000\nafsluiten"
_@M2074_ "Simulator\nmenu"
_@M2075_ "Therm."
_@M2076_ "Equiv."
_@M2077_ "Manueel"
_@M2078_ "OK"
_@M2079_ "Overlays"
_@M2080_ "Schaduw"
_@M2081_ "Verplaats\ncentrum"
_@M2082_ "Pan"
_@M2083_ "Noord\nboven"
_@M2084_ "Koers\nboven"
_@M2085_ "Noord\nin thermiek"
_@M2086_ "Doel\nin thermiek"
_@M2087_ "Noord\nslim"
_@M2088_ "HERSTART"
_@M2089_ "Laagste"
_@M2090_ "Standaard"
_@M2091_ "Gemmid."
_@M2092_ "Hoogste"
_@M2093_ "Aan"
_@M2094_ "Uit"
_@M2095_ "Normaal\nAlles aan"
_@M2096_ "LED+geluid\nAlles uit"
_@M2097_ "LED uit\nGeluid aan"
_@M2098_ "LED aan\nGeluid uit"
_@M2099_ "Links\n<<"
_@M2100_ "Boven"
_@M2101_ "Midden"
_@M2102_ "Onder"
_@M2103_ "Rechts\n>>"
_@M2104_ "F>\nFlarm"
_@M2105_ "M>\nTeam"
_@M2106_ "L>\nThermiek"
_@M2107_ "T>\nOpdracht"
_@M2108_ "B>\nBestAlt"
_@M2109_ "1>\nAltern.1"
_@M2110_ "2>\nAltern.2"
_@M2111_ "H>\nThuis"
_@M2112_ "Snelheid"
_@M2113_ "Altitude"
_@M2114_ "Draai"
# better not to translate this TE button!
_@M2115_ "TotEnergie"
_@M2116_ "Verander\nterrein"
# Auto MC thermal+final glide mode, keep max 7 chars!
_@M2117_ "Ther+Fin"
_@M2118_ "Logboek"
_@M2119_ "Logboek\ndetails"
_@M2120_ "Logboek\nwissen"
_@M2121_ "Logboek\nlijst"
_@M2122_ "Systeem\nopslaan"
_@M2123_ "Draai\nscherm"
_@M2124_ "Scherm\ndimensies"
_@M2125_ "Vliegtuig\nsetup"
_@M2126_ "Vliegtuig\nopslaan"
_@M2127_ "Piloot\nsetup"
_@M2128_ "Piloot\nopslaan"
_@M2129_ "LK8000\nsetup"
_@M2130_ "Systeem\nsetup"
_@M2131_ "Eigen\nmenu"
_@M2132_ "Wis\naltern."

_@M2133_ "Positie"

_@M2134_ "App. A"
_@M2135_ "App. B"
_@M2136_ "Draai C-Probe 360° rond zijn 3 assen.\nDe volgorde en richting zijn niet belangrijk."

_@M2143_ "Apparaat A config"
_@M2144_ "Apparaat B config"



# Paraglider Waypoint Type
_@M2145_ "Ingaand"
_@M2146_ "Uitgaand"
_@M2147_ "In/uitgaand "

_@M2148_ "Auto, fiets of te voet (trekking)"

# Thermal Bar
_@M2149_ "Tijdens thermiek"
_@M2150_ "Tijdens thermiek en kruisvlucht"

# New CustomKey labels for Custom Menu
_@M2200_ "----"
_@M2201_ "Menu"
_@M2202_ "Pagina\nterug"
_@M2203_ "Kaart <>\nhuidige info"
_@M2204_ "Kaart <>\ninfo 2.x"
_@M2205_ "Info 2.x"
_@M2206_ "Kaart <>\ninfo 3.x"
_@M2207_ "Info 3.x"
_@M2208_ "Kaart <>\ninfo 4.x"
_@M2209_ "Info 4.x"
_@M2210_ "Auto zoom\naan/uit"
_@M2211_ "Vario\n*geluid*"
_@M2212_ "Ga naar\nhuis"
_@M2213_ "Zoom 20s\nver uit"
_@M2214_ "Volgend\nmultidoel"
_@M2215_ "Gebruik\nAlt.BAR"
_@M2216_ "Simulator\nmenu"
_@M2217_ "Luchtruim\nanalyse"
_@M2218_ "Kaart <>\n2.4 LUCHTR"
_@M2219_ "Zoom\nsterk in"
_@M2220_ "Zoom\nsterk uit"
_@M2221_ "Schakel\noptim.route"
_@M2222_ "OLC\nanalyse"
_@M2223_ "Terrein\nkleur +"
_@M2224_ "Terrein\nkleur -"
_@M2225_ "Vrije\nvlucht"
_@M2226_ "Auto verder\naan"
_@M2227_ "Schakel\nwindnotatie"
_@M2228_ "Flarm\nradar"
_@M2229_ "Herstart\nodometer"
_@M2230_ "Forceer\ngeland"
_@M2231_ "ACTIEF"
# 2232 unused but reserved for mmaps
_@M2232_ "abcd"
_@M2233_ "Overlay"
_@M2234_ "TEKST"
_@M2235_ "INSTR"
_@M2236_ "Herstart\ntrip"
_@M2237_ "Schakel\nsonar"
_@M2238_ "Teken\nopdracht"
_@M2239_ "Teken\nFAI"
_@M2240_ "Verberg\nFAI-opdr."
_@M2241_ "Teken\nFAI-opdr."
_@M2242_ "Sonar\nAAN"
_@M2243_ "Sonar\nUIT"
_@M2244_ "Apparaat\nsetup"
_@M2245_ "Apparaat\nopslaan"

# MAX 2250! 
# (Reserved for custom menus up to 2300!)
# Note for developers: remember LKLanguage MAX_MESSAGE limit
